State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Mancherial,2025-01-30,2025,01,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-02-06,2025,02,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-02-07,2025,02,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-02-08,2025,02,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-02-19,2025,02,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-02-22,2025,02,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-03-01,2025,03,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-03-07,2025,03,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-03-15,2025,03,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-03-22,2025,03,11.3106466617,NRSC VIC MODEL
Telangana,Mancherial,2025-03-24,2025,03,0.3749079096,NRSC VIC MODEL
Telangana,Mancherial,2025-03-25,2025,03,0.1430201119,NRSC VIC MODEL
Telangana,Mancherial,2025-03-26,2025,03,3.8e-08,NRSC VIC MODEL
Telangana,Mancherial,2025-03-31,2025,03,3.8e-08,NRSC VIC MODEL
Telangana,Mancherial,2025-04-01,2025,04,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-04-04,2025,04,1.3131744939,NRSC VIC MODEL
Telangana,Mancherial,2025-04-05,2025,04,0.0,NRSC VIC MODEL
Telangana,Mancherial,2025-04-06,2025,04,0.3614897987,NRSC VIC MODEL
Telangana,Mancherial,2025-04-07,2025,04,0.0433502008,NRSC VIC MODEL
Telangana,Mancherial,2025-04-17,2025,04,0.0726003282,NRSC VIC MODEL
Telangana,Mancherial,2025-04-12,2025,04,0.0451651287,NRSC VIC MODEL
Telangana,Mancherial,2025-04-19,2025,04,0.0068796854,NRSC VIC MODEL
Telangana,Mancherial,2025-04-29,2025,04,0.0382727262,NRSC VIC MODEL
Telangana,Mancherial,2025-05-03,2025,05,0.0002499139,NRSC VIC MODEL
Telangana,Mancherial,2025-05-07,2025,05,6.3197391516,NRSC VIC MODEL
Telangana,Mancherial,2025-05-10,2025,05,0.0005661917,NRSC VIC MODEL
Telangana,Mancherial,2025-05-17,2025,05,22.326205975,NRSC VIC MODEL
Telangana,Mancherial,2025-05-31,2025,05,0.4251069321,NRSC VIC MODEL
Telangana,Mancherial,2025-06-03,2025,06,0.0685422967,NRSC VIC MODEL
Telangana,Mancherial,2025-06-04,2025,06,0.4204635632,NRSC VIC MODEL
Telangana,Mancherial,2025-06-05,2025,06,0.0452546897,NRSC VIC MODEL
Telangana,Mancherial,2025-06-08,2025,06,0.0427774816,NRSC VIC MODEL
Telangana,Mancherial,2025-06-13,2025,06,3.0307972178,NRSC VIC MODEL
Telangana,Mancherial,2025-06-09,2025,06,4.719772243,NRSC VIC MODEL
Telangana,Mancherial,2025-06-16,2025,06,3.3103e-06,NRSC VIC MODEL
Telangana,Mancherial,2025-06-19,2025,06,0.252545308,NRSC VIC MODEL
Telangana,Mancherial,2025-06-24,2025,06,17.4952796972,NRSC VIC MODEL
Telangana,Mancherial,2025-06-25,2025,06,23.7071586716,NRSC VIC MODEL
Telangana,Mancherial,2025-06-30,2025,06,21.4508893941,NRSC VIC MODEL
Telangana,Medak,2025-01-01,2025,01,0.0,NRSC VIC MODEL
Telangana,Medak,2025-01-07,2025,01,0.0,NRSC VIC MODEL
Telangana,Medak,2025-01-08,2025,01,0.0,NRSC VIC MODEL
Telangana,Medak,2025-01-09,2025,01,0.0,NRSC VIC MODEL
Telangana,Medak,2025-01-12,2025,01,0.0,NRSC VIC MODEL
Telangana,Medak,2025-01-25,2025,01,0.0006830359,NRSC VIC MODEL
Telangana,Medak,2025-02-04,2025,02,3.3149e-06,NRSC VIC MODEL
Telangana,Medak,2025-02-14,2025,02,0.0,NRSC VIC MODEL
Telangana,Medak,2025-02-16,2025,02,0.0,NRSC VIC MODEL
Telangana,Medak,2025-02-17,2025,02,0.0,NRSC VIC MODEL
Telangana,Medak,2025-02-18,2025,02,0.0,NRSC VIC MODEL
Telangana,Medak,2025-02-23,2025,02,3.3149e-06,NRSC VIC MODEL
Telangana,Medak,2025-03-02,2025,03,0.0,NRSC VIC MODEL
